Project_ID,Investment_Type,Protection_Type,Description,Time_To_Build_Months,Total_Cost_USD,Monthly_Cost_USD,Area_Effect_Meters,Monthly_Cost_Distribution,Damage_Reduction_Pct,Property_Value_Increase_Pct,Insurance_Premium_Reduction_Pct,Lives_Saved_Per_Event,Cost_Benefit_Ratio,Total_Capital_Budget_2025_2027_USD,Budget_Constraint_Percentage
CP001,Drainage Improvements,Flooding,Enhanced drainage systems to prevent water accumulation,9,30284.76,3364.97,292,"[0.0, 2034.82, 3786.03, 5012.2, 5549.87, 5337.5, 4424.12, 2961.18, 1179.04]",0.5348,0.0995,0.116,4.8,10752.45,14847957.159999998,16.1
CP002,Rain Gardens,Flooding,Planted depressions that allow rainwater runoff to be absorbed,5,96729.68,19345.94,296,"[0.0, 24514.35, 35935.13, 28645.97, 7634.23]",0.5734,0.16,0.2821,1.42,1106.37,14847957.159999998,16.1
CP003,Beach Nourishment,"Storm Surge, Erosion",Adding sand to beaches to combat erosion and absorb wave energy,10,141162.69,14116.27,467,"[0.0, 7530.57, 14229.37, 19362.64, 22380.85, 22982.9, 21150.49, 17148.7, 11492.67, 4884.5]",0.4357,0.0533,0.3104,4.79,2306.83,14847957.159999998,16.1
CP004,Community Shelters,All Hazards,Reinforced buildings designed to withstand extreme weather,33,6177507.65,187197.2,4190,"[0.0, 26641.24, 53047.32, 78985.26, 104226.53, 128549.12, 151739.68, 173595.51, 193926.44, 212556.64, 229326.28, 244092.97, 256733.12, 267143.08, 275240.11, 280963.09, 284273.13, 285153.85, 283611.52, 279674.98, 273395.32, 264845.33, 254118.81, 241329.61, 226610.53, 210111.98, 192000.57, 172457.43, 151676.48, 129862.54, 107229.35, 83997.51, 60392.33]",0.188,0.0715,0.2322,7.72,95.0,14847957.159999998,16.1
CP005,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,21,4305943.67,205044.94,3745,"[0.0, 47341.15, 93613.97, 137775.81, 178834.83, 215873.8, 248072.1, 274725.39, 295262.39, 309258.41, 316445.36, 316717.8, 310135.17, 296919.87, 277451.44, 252256.87, 221997.32, 187451.6, 149496.79, 109086.48, 67227.15]",0.3926,0.1385,0.2403,5.34,113.05,14847957.159999998,16.1
CP006,Flood Warning Systems,"Flooding, All Hazards",Early warning systems to alert residents of potential flooding,1,46238.6,46238.6,1497,[46238.6],0.6846,0.1891,0.2942,5.0,8811.57,14847957.159999998,16.1
CP007,Bioswales,Flooding,Landscape elements designed to remove silt and pollution from runoff water,6,12571.43,2095.24,427,"[0.0, 2094.36, 3457.87, 3632.05, 2599.85, 787.31]",0.5605,0.0845,0.3385,2.81,15725.69,14847957.159999998,16.1
CP008,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,15,8298715.77,553247.72,1168,"[0.0, 185187.43, 361866.17, 521944.38, 658143.26, 764352.55, 835927.91, 869915.25, 865190.86, 822510.45, 744464.75, 635343.92, 500917.67, 348142.27, 184808.91]",0.4946,0.1502,0.3431,1.64,18.74,14847957.159999998,16.1
CP009,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,23,14767223.1,642053.18,319,"[0.0, 134321.53, 266136.95, 392990.0, 512523.12, 622524.29, 720970.96, 806070.08, 876293.53, 930408.24, 967500.22, 986992.26, 988654.73, 972609.45, 939326.4, 889613.4, 824599.02, 745709.03, 654636.8, 553308.46, 443843.24, 328510.09, 209681.3]",0.3868,0.1794,0.2395,2.01,9.95,14847957.159999998,16.1
CP010,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,5,108395.85,21679.17,140,"[0.0, 27470.93, 40269.12, 32100.84, 8554.96]",0.5397,0.1294,0.0867,2.31,1452.93,14847957.159999998,16.1
CP011,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,11,1734072.33,157642.94,179,"[0.0, 75205.3, 143667.96, 199290.1, 237200.68, 254218.14, 249148.81, 222892.16, 178342.78, 120099.08, 54007.3]",0.7293,0.1371,0.3034,2.11,84.6,14847957.159999998,16.1
CP012,Floodwalls,Flooding,Permanent barriers designed to prevent floodwaters from reaching properties,5,192422.91,38484.58,343,"[0.0, 48766.04, 71485.22, 56985.0, 15186.66]",0.579,0.1296,0.1545,3.19,1161.42,14847957.159999998,16.1
CP013,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,6,1190829.22,198471.54,341,"[0.0, 198388.73, 327546.54, 344045.52, 246270.63, 74577.8]",0.3889,0.1254,0.1915,5.56,317.56,14847957.159999998,16.1
CP014,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,7,198867.81,28409.69,141,"[0.0, 23364.43, 41003.27, 48688.66, 44789.31, 30678.49, 10343.65]",0.4645,0.03,0.1996,1.96,659.95,14847957.159999998,16.1
CP015,Rain Gardens,Flooding,Planted depressions that allow rainwater runoff to be absorbed,2,55997.89,27998.95,172,"[0.0, 55997.89]",0.4756,0.0728,0.2235,0.53,701.45,14847957.159999998,16.1
CP016,Retention Ponds,Flooding,Artificial ponds that store stormwater runoff,1,178932.5,178932.5,63,[178932.5],0.5111,0.0829,0.2196,2.23,830.59,14847957.159999998,16.1
CP017,Flood-Resistant Materials,Flooding,Building materials that can withstand flood exposure,11,176644.57,16058.6,49,"[0.0, 7660.93, 14635.01, 20301.07, 24162.9, 25896.41, 25380.02, 22705.33, 18167.23, 12234.12, 5501.56]",0.7297,0.1823,0.1712,0.94,366.57,14847957.159999998,16.1
CP018,Dune Restoration,"Storm Surge, Wind",Rebuilding and stabilizing sand dunes to protect coastal areas,30,963431.06,32114.37,2645,"[0.0, 5055.58, 10056.84, 14950.06, 19682.78, 24204.38, 28466.63, 32424.3, 36035.63, 39262.83, 42072.48, 44435.96, 46329.72, 47735.58, 48640.91, 49038.78, 48928.02, 48313.23, 47204.73, 45618.38, 43575.46, 41102.35, 38230.24, 34994.76, 31435.55, 27595.79, 23521.69, 19261.94, 14867.17, 10389.29]",0.7426,0.0583,0.3301,5.22,431.36,14847957.159999998,16.1
CP019,Sump Pumps,Flooding,Pumps installed in basements to remove accumulated water,1,46168.99,46168.99,325,[46168.99],0.6574,0.1518,0.1314,1.56,2543.98,14847957.159999998,16.1
CP020,Retention Ponds,Flooding,Artificial ponds that store stormwater runoff,3,36926.79,12308.93,183,"[0.0, 30456.48, 6470.32]",0.5928,0.1335,0.2156,0.97,1925.27,14847957.159999998,16.1
CP021,Green Roofs,"Flooding, Wind",Roofs partially or completely covered with vegetation to absorb rainwater,9,105053.26,11672.58,498,"[0.0, 7058.47, 13133.16, 17386.58, 19251.65, 18514.98, 15346.61, 10271.89, 4089.91]",0.3679,0.094,0.2578,2.24,1531.07,14847957.159999998,16.1
CP022,Rain Gardens,Flooding,Planted depressions that allow rainwater runoff to be absorbed,7,4175.02,596.43,384,"[0.0, 490.51, 860.82, 1022.17, 940.31, 644.06, 217.15]",0.7498,0.0684,0.3313,2.88,48220.97,14847957.159999998,16.1
CP023,Coastal Reforestation,"Erosion, Wind",Planting trees and vegetation to stabilize coastal areas,4,178482.15,44620.54,398,"[0.0, 76124.81, 83153.79, 19203.55]",0.4201,0.0452,0.1334,0.56,244.59,14847957.159999998,16.1
CP024,Rainwater Harvesting,Flooding,"Systems to collect and store rainwater, reducing runoff",3,146538.9,48846.3,15,"[0.0, 120862.33, 25676.56]",0.566,0.0542,0.2471,3.47,1565.41,14847957.159999998,16.1
CP025,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,1,6380.92,6380.92,262,[6380.92],0.3752,0.1352,0.1747,0.89,10676.49,14847957.159999998,16.1
CP026,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,1,4585674.64,4585674.64,481,[4585674.64],0.3864,0.1112,0.2492,1.73,28.07,14847957.159999998,16.1
CP027,Wetland Restoration,"Storm Surge, Flooding",Restoring natural wetlands that absorb storm surge and floodwaters,26,3780479.3,145403.05,3126,"[0.0, 26662.07, 52938.75, 78450.59, 102829.94, 125726.58, 146813.12, 165790.05, 182390.32, 196383.41, 207578.85, 215829.13, 221031.87, 223131.35, 222119.3, 218034.89, 210964.04, 201038.01, 188431.2, 173358.37, 156071.17, 136854.13, 116020.09, 93905.28, 70863.97, 47262.82]",0.6154,0.0815,0.2944,5.01,111.35,14847957.159999998,16.1
CP028,Rainwater Harvesting,Flooding,"Systems to collect and store rainwater, reducing runoff",12,100496.58,8374.72,236,"[0.0, 3612.27, 6956.46, 9785.72, 11893.91, 13131.86, 13418.99, 12749.46, 11192.26, 8885.37, 6024.27, 2846.0]",0.5828,0.1853,0.1731,2.44,1717.87,14847957.159999998,16.1
CP029,Dune Restoration,"Storm Surge, Wind",Rebuilding and stabilizing sand dunes to protect coastal areas,25,1576751.14,63070.05,2072,"[0.0, 12061.64, 23934.13, 35431.48, 46373.96, 56591.13, 65924.67, 74231.01, 81383.72, 87275.6, 91820.5, 94954.65, 96637.74, 96853.57, 95610.21, 92939.87, 88898.28, 83563.7, 77035.53, 69432.57, 60890.99, 51561.93, 41608.95, 31205.13, 20530.18]",0.5312,0.1778,0.3275,4.89,265.92,14847957.159999998,16.1
CP030,Wind Resistant Windows,Wind,Impact-resistant windows designed to withstand high winds and debris,7,21304.97,3043.57,105,"[0.0, 2503.06, 4392.74, 5216.08, 4798.34, 3286.63, 1108.13]",0.2933,0.1303,0.2613,1.17,3795.36,14847957.159999998,16.1
CP031,Retention Ponds,Flooding,Artificial ponds that store stormwater runoff,12,59664.83,4972.07,18,"[0.0, 2144.61, 4130.05, 5809.78, 7061.42, 7796.39, 7966.85, 7569.35, 6644.85, 5275.25, 3576.61, 1689.67]",0.6474,0.1984,0.2803,2.02,2265.31,14847957.159999998,16.1
CP032,Backflow Preventers,Flooding,Devices that prevent water from flowing backward into clean water systems,3,78679.82,26226.61,42,"[0.0, 64893.53, 13786.29]",0.6341,0.0816,0.2884,2.22,1876.11,14847957.159999998,16.1
CP033,Stormwater Management System,Flooding,Systems to manage excess rainwater and prevent flooding,18,4067094.1,225949.67,35,"[0.0, 61755.96, 121584.69, 177623.09, 228134.14, 271564.61, 306596.52, 332190.63, 347620.55, 352496.23, 346776.06, 330767.27, 305114.47, 270776.87, 228994.87, 181247.24, 129200.26, 74650.63]",0.4562,0.0717,0.2242,2.8,45.68,14847957.159999998,16.1
CP034,Reinforced Roof,Wind,Strengthened roof structures to resist high winds,6,147430.52,24571.75,451,"[0.0, 24561.5, 40551.87, 42594.53, 30489.52, 9233.1]",0.3144,0.0479,0.2583,2.36,1104.51,14847957.159999998,16.1
CP035,Bioswales,Flooding,Landscape elements designed to remove silt and pollution from runoff water,11,79069.27,7188.12,45,"[0.0, 3429.17, 6550.89, 9087.12, 10815.75, 11591.7, 11360.55, 10163.31, 8131.98, 5476.21, 2462.6]",0.5406,0.1653,0.3015,4.54,3811.9,14847957.159999998,16.1
CP036,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,16,8955232.92,559702.06,2645,"[0.0, 174303.77, 341626.97, 495287.15, 629185.1, 738064.66, 817735.93, 865252.17, 879032.66, 858926.43, 806213.87, 723546.37, 614826.64, 485034.98, 340009.08, 186187.12]",0.4094,0.0864,0.3367,2.93,29.25,14847957.159999998,16.1
CP037,Gabion Walls,"Erosion, Flooding",Wire mesh containers filled with rock to prevent erosion,6,58950.21,9825.03,399,"[0.0, 9820.94, 16214.7, 17031.46, 12191.26, 3691.86]",0.428,0.034,0.0561,0.64,825.79,14847957.159999998,16.1
CP038,Elevated Structures,"Flooding, Storm Surge",Raising buildings above potential flood levels,3,69127.96,23042.65,366,"[0.0, 57015.35, 12112.61]",0.5849,0.0925,0.2961,2.48,2531.01,14847957.159999998,16.1
CP039,Bioswales,Flooding,Landscape elements designed to remove silt and pollution from runoff water,1,45868.95,45868.95,415,[45868.95],0.5711,0.1562,0.2318,1.9,3122.42,14847957.159999998,16.1
CP040,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,10,107417.2,10741.72,208,"[0.0, 5730.36, 10827.78, 14733.93, 17030.62, 17488.75, 16094.38, 13049.24, 8745.31, 3716.84]",0.4947,0.0393,0.2716,2.25,1420.36,14847957.159999998,16.1
CP041,Wind Resistant Windows,Wind,Impact-resistant windows designed to withstand high winds and debris,7,52265.24,7466.46,234,"[0.0, 6140.5, 10776.23, 12796.06, 11771.26, 8062.74, 2718.46]",0.4122,0.0443,0.1153,0.34,506.86,14847957.159999998,16.1
CP042,Hurricane Straps,Wind,Metal connectors that secure roof to walls and foundation,12,90155.08,7512.92,439,"[0.0, 3240.55, 6240.62, 8778.73, 10669.98, 11780.54, 12038.12, 11437.49, 10040.54, 7971.03, 5404.35, 2553.13]",0.5809,0.0992,0.1016,1.6,1325.03,14847957.159999998,16.1
CP043,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,1,2445937.29,2445937.29,49,[2445937.29],0.6367,0.0681,0.1907,4.46,120.84,14847957.159999998,16.1
CP044,Wind Resistant Windows,Wind,Impact-resistant windows designed to withstand high winds and debris,1,191973.68,191973.68,435,[191973.68],0.5741,0.1259,0.259,0.71,326.79,14847957.159999998,16.1
CP045,Green Roofs,"Flooding, Wind",Roofs partially or completely covered with vegetation to absorb rainwater,2,105834.14,52917.07,245,"[0.0, 105834.14]",0.3006,0.0784,0.192,2.14,1384.25,14847957.159999998,16.1
CP046,Community Shelters,All Hazards,Reinforced buildings designed to withstand extreme weather,15,15055597.6,1003706.51,4217,"[0.0, 335968.55, 656500.54, 946915.74, 1194008.85, 1386694.6, 1516547.2, 1578207.32, 1569636.29, 1492205.15, 1350614.0, 1152646.1, 908768.92, 631602.53, 335281.82]",0.2317,0.1217,0.1284,3.18,22.1,14847957.159999998,16.1
CP047,Green Roofs,"Flooding, Wind",Roofs partially or completely covered with vegetation to absorb rainwater,6,153384.23,25564.04,354,"[0.0, 25553.37, 42189.49, 44314.63, 31720.78, 9605.96]",0.3937,0.1534,0.1141,2.05,972.58,14847957.159999998,16.1
CP048,Dune Restoration,"Storm Surge, Wind",Rebuilding and stabilizing sand dunes to protect coastal areas,19,1301498.16,68499.9,3325,"[0.0, 17641.88, 34792.52, 50975.24, 65742.13, 78687.26, 89458.71, 97768.98, 103403.37, 106226.26, 106184.94, 103310.94, 97718.88, 89602.78, 79229.93, 66932.67, 53098.12, 38156.35, 22567.21]",0.5265,0.0834,0.2314,5.49,348.76,14847957.159999998,16.1
CP049,Stormwater Management System,Flooding,Systems to manage excess rainwater and prevent flooding,10,266856.16,26685.62,326,"[0.0, 14235.9, 26899.43, 36603.44, 42309.11, 43447.23, 39983.22, 32418.17, 21725.93, 9233.73]",0.6226,0.0936,0.1957,2.85,742.11,14847957.159999998,16.1
CP050,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,6,3103618.65,517269.78,101,"[0.0, 517053.96, 853673.68, 896674.41, 641846.96, 194369.64]",0.6057,0.1198,0.2847,3.0,64.94,14847957.159999998,16.1
CP051,Drainage Improvements,Flooding,Enhanced drainage systems to prevent water accumulation,5,71818.39,14363.68,448,"[0.0, 18201.04, 26680.57, 21268.62, 5668.15]",0.5652,0.157,0.1001,0.58,797.51,14847957.159999998,16.1
CP052,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,9,176063.66,19562.63,385,"[0.0, 11829.62, 22010.48, 29138.98, 32264.75, 31030.13, 25720.09, 17215.15, 6854.48]",0.3816,0.0634,0.2367,2.39,941.42,14847957.159999998,16.1
CP053,Floodwalls,Flooding,Permanent barriers designed to prevent floodwaters from reaching properties,2,70732.37,35366.18,272,"[0.0, 70732.37]",0.6728,0.1767,0.2759,2.45,2471.72,14847957.159999998,16.1
CP054,Elevated Structures,"Flooding, Storm Surge",Raising buildings above potential flood levels,8,60348.56,7543.57,381,"[0.0, 5260.52, 9567.56, 12152.05, 12577.45, 10822.43, 7281.94, 2686.6]",0.4676,0.0592,0.1993,1.68,1974.01,14847957.159999998,16.1
CP055,Beach Nourishment,"Storm Surge, Erosion",Adding sand to beaches to combat erosion and absorb wave energy,2,73453.77,36726.89,69,"[0.0, 73453.77]",0.7287,0.1017,0.1574,4.69,4245.85,14847957.159999998,16.1
CP056,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,9,36632.48,4070.28,283,"[0.0, 2461.32, 4579.58, 6062.77, 6713.13, 6456.25, 5351.42, 3581.85, 1426.17]",0.6085,0.0362,0.1741,2.58,4798.25,14847957.159999998,16.1
CP057,Reinforced Garage Doors,Wind,Strengthened garage doors that can withstand high winds,2,37712.11,18856.05,301,"[0.0, 37712.11]",0.4122,0.1227,0.1763,1.43,2770.32,14847957.159999998,16.1
CP058,Waterproof Membrane,Flooding,Waterproof barriers applied to building foundations,9,3766.82,418.54,267,"[0.0, 253.09, 470.91, 623.42, 690.29, 663.88, 550.27, 368.31, 146.65]",0.3967,0.0874,0.3258,1.24,23561.16,14847957.159999998,16.1
CP059,Reinforced Roof,Wind,Strengthened roof structures to resist high winds,7,188769.94,26967.13,374,"[0.0, 22178.06, 38921.26, 46216.4, 42515.05, 29120.74, 9818.43]",0.3815,0.0899,0.198,1.31,508.65,14847957.159999998,16.1
CP060,Flood Warning Systems,"Flooding, All Hazards",Early warning systems to alert residents of potential flooding,12,12356.21,1029.68,2669,"[0.0, 444.13, 855.31, 1203.17, 1462.37, 1614.58, 1649.89, 1567.57, 1376.11, 1092.47, 740.69, 349.92]",0.3121,0.1216,0.2112,3.05,22961.5,14847957.159999998,16.1
CP061,Green Roofs,"Flooding, Wind",Roofs partially or completely covered with vegetation to absorb rainwater,7,196961.3,28137.33,87,"[0.0, 23140.44, 40610.18, 48221.89, 44359.92, 30384.38, 10244.49]",0.3636,0.1253,0.1888,4.75,1605.16,14847957.159999998,16.1
CP062,Roof Tie-Downs,Wind,Additional anchoring systems to secure roofs during high winds,9,61205.8,6800.64,463,"[0.0, 4112.38, 7651.6, 10129.71, 11216.34, 10787.14, 8941.19, 5984.58, 2382.85]",0.4231,0.1089,0.2213,1.35,1689.0,14847957.159999998,16.1
CP063,Sump Pumps,Flooding,Pumps installed in basements to remove accumulated water,8,33279.9,4159.99,48,"[0.0, 2900.97, 5276.14, 6701.39, 6935.98, 5968.15, 4015.71, 1481.56]",0.4003,0.1604,0.3282,4.63,9240.09,14847957.159999998,16.1
CP064,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,9,1494335.39,166037.27,408,"[0.0, 100403.55, 186813.31, 247316.28, 273846.14, 263367.32, 218298.57, 146113.06, 58177.17]",0.3683,0.0581,0.1619,4.07,185.05,14847957.159999998,16.1
CP065,Stormwater Management System,Flooding,Systems to manage excess rainwater and prevent flooding,31,1430781.58,46154.24,301,"[0.0, 7017.51, 13964.55, 20771.4, 27369.84, 33693.89, 39680.5, 45270.23, 50407.89, 55043.11, 59130.9, 62632.11, 65513.86, 67749.85, 69320.67, 70214.01, 70424.71, 69954.9, 68813.88, 67018.06, 64590.75, 61561.9, 57967.75, 53850.44, 49257.54, 44241.52, 38859.14, 33170.87, 27240.22, 21132.99, 14916.6]",0.7273,0.0582,0.3452,3.42,163.16,14847957.159999998,16.1
CP066,Dune Restoration,"Storm Surge, Wind",Rebuilding and stabilizing sand dunes to protect coastal areas,29,2242122.04,77314.55,346,"[0.0, 12617.57, 25089.7, 37272.75, 49026.62, 60216.49, 70714.45, 80401.12, 89167.05, 96914.09, 103556.58, 109022.39, 113253.8, 116208.18, 117858.5, 118193.62, 117218.43, 114953.73, 111435.97, 106716.74, 100862.12, 93951.82, 86078.13, 77344.81, 67865.7, 57763.31, 47167.27, 36212.68, 25038.42]",0.4808,0.159,0.3113,4.42,136.7,14847957.159999998,16.1
CP067,Coastal Reforestation,"Erosion, Wind",Planting trees and vegetation to stabilize coastal areas,4,95621.83,23905.46,298,"[0.0, 40783.87, 44549.65, 10288.3]",0.3494,0.0685,0.1519,0.89,676.89,14847957.159999998,16.1
CP068,Green Roofs,"Flooding, Wind",Roofs partially or completely covered with vegetation to absorb rainwater,11,150955.49,13723.23,179,"[0.0, 6546.82, 12506.67, 17348.72, 20648.93, 22130.35, 21689.05, 19403.34, 15525.2, 10454.94, 4701.48]",0.3381,0.1522,0.2632,1.65,764.22,14847957.159999998,16.1
CP069,Beach Nourishment,"Storm Surge, Erosion",Adding sand to beaches to combat erosion and absorb wave energy,11,76111.31,6919.21,189,"[0.0, 3300.89, 6305.83, 8747.17, 10411.13, 11158.06, 10935.55, 9783.11, 7827.76, 5271.35, 2370.47]",0.653,0.0991,0.2271,3.51,3130.11,14847957.159999998,16.1
CP070,Elevated Structures,"Flooding, Storm Surge",Raising buildings above potential flood levels,2,47983.36,23991.68,289,"[0.0, 47983.36]",0.4977,0.1918,0.1465,1.55,2427.16,14847957.159999998,16.1
